hindi,hinglish
यह आसान ससुर है।,Yeh aasan sasur hai
यह पासवर्ड बेकार है।,Yeh password bekar hai
उनकी किताब लेकर आया।,unki kitaab lekar aaya.
यह नापसंद दिन है।,Yeh napasand din hai.
वह गंदा बहन था।,Woh ganda behen tha.
यह उलझन में दुश्मन है।,Yeh confused dushman hai
नयी खिड़की है,nayi khidki hai
यह कमाल का ससुर और वह कमाल का बेटा है।,Yeh kamaal ka sasur aur woh kamaal ka beta hai
गंदा सब्ज़ी है,ganda sabzi hai
वह ज़बरदस्त पत्नी होगा।,Woh zabardast patni hoga.
मुझे एक बेहतर एडिट चाहिए।,mujhe ek behtar edit chahiye.
वह उलझन में बच्ची होगा।,Woh confused bachchi hoga.
मुझे एक ज़बरदस्त व्हाट्सएप चाहिए।,mujhe ek zabardast WhatsApp chahiye.
वह बहादुर ताई होगा।,Woh bahadur tai hoga.
फर्श दे लो,farsh de lo
पुराना गाँव है,purana gaanv hai
मुझे एक शानदार इमेज चाहिए।,mujhe ek shaandaar image chahiye.
यह हैरान माँ है।,Yeh hairaan maa hai
मेरे पास कई हेडफोन है।,Mere paas kai headphone hai.
खूबसूरत काम,khoobsurat kaam
मेरी किया है,meri kiya hai
मुझे एक छोटा लॉगआउट चाहिए।,mujhe ek chhota logout chahiye.
यह साधारण लड़का है।,Yeh sadharan ladka hai
वह मोटा चाचा होगा।,Woh mota chacha hoga.
मुझे एक फोल्डर मिला,Mujhe ek folder mila
यह सबसे अच्छा चाचा है।,Yeh sabse accha chacha hai
चार घंटे,chaar ghante
यह वाईफाई धांसू है।,Yeh wifi dhansu hai
यह सबसे अच्छा पति और वह सबसे अच्छा परिवार है।,Yeh sabse accha pati aur woh sabse accha parivar hai
यह बेहतर पत्नी और वह बेहतर नाना है।,Yeh behtar patni aur woh behtar nana hai
मेरे पास तीन बिस्तर है।,Mere paas teen bistar hai.
मुझे एक बुरा सेल चाहिए।,mujhe ek bura sale chahiye.
शाबाश! बहुत अच्छा।,Shabash! Bahut accha.
वह मज़बूत ससुर होगा।,Woh mazboot sasur hoga.
वह गरम दादा होगा।,Woh garam dada hoga.
नमक दे लीजिए,namak de lijiye
मुझे एक बेकार नोटिफिकेशन चाहिए।,mujhe ek bekar notification chahiye.
यह ऑडियो खराब है।,Yeh audio kharab hai
वह शर्मीला बहन होगा।,Woh sharmila behen hoga.
यह साफ पत्नी है।,Yeh saaf patni hai
मेरे पास दो लड़का है।,Mere paas do ladka hai.
वह नारंगी पापा था।,Woh narangi papa tha.
आप बहुत कम है,aap bahut kam hai
यह बेहतर चाचा और वह बेहतर बेटा है।,Yeh behtar chacha aur woh behtar beta hai
मैं चलती है,main chalti hai
बढ़िया वक़्त है,badhiya waqt hai
मैं रह रहा है,main rah raha hai
वह बेईमान चाचा होगा।,Woh beimana chacha hoga.
यह अभी का ससुर है।,Yeh abhi ka sasur hai
मेरी दिन है,meri din hai
यह डाउनलोड बड़ा है।,Yeh download bada hai
मुझे एक छोटा आईपैड चाहिए।,mujhe ek chhota iPad chahiye.
यह खराब ताई और वह खराब घरवाले है।,Yeh kharab tai aur woh kharab gharwale hai
यह बूढ़ा पत्नी है।,Yeh budha patni hai
यह शानदार पापा और वह शानदार दादा है।,Yeh shaandaar papa aur woh shaandaar dada hai
यह पिक्चर ज़बरदस्त है।,Yeh picture zabardast hai
यह कोमल आदमी है।,Yeh komal aadmi hai
मेरी चाँद है,meri chaand hai
मेरे पास बहुत सारे आदमी है।,Mere paas bahut sare aadmi hai.
मुझे एक सबसे अच्छा मीम चाहिए।,mujhe ek sabse accha meme chahiye.
यह बेकार पापा है।,Yeh bekar papa hai
यह कमाल का पापा और वह कमाल का बेटी है।,Yeh kamaal ka papa aur woh kamaal ka beti hai
यह सबसे अच्छा पति और वह सबसे अच्छा ससुर है।,Yeh sabse accha pati aur woh sabse accha sasur hai
यह ज़बरदस्त ताई है।,Yeh zabardast tai hai
यह हरा दादी है।,Yeh hara dadi hai
मुझे एक चौड़ा फोन चाहिए।,mujhe ek chaura phone chahiye.
यह नीचा ससुर है।,Yeh neecha sasur hai
यह रील बड़ा है।,Yeh reel bada hai
मुझे एक चौड़ा आईपैड चाहिए।,mujhe ek chaura iPad chahiye.
पिता ले लो,pita le lo
यह कमेंट बेकार है।,Yeh comment bekar hai
यह कमाल का चाची और वह कमाल का बेटा है।,Yeh kamaal ka chachi aur woh kamaal ka beta hai
ठंडा देश,thanda desh
कब से हम हो,kab se hum ho
पड़ोसी गया,padosi gaya
मुझे एक सबसे बुरा स्नैपचैट चाहिए।,mujhe ek sabse bura Snapchat chahiye.
मुझे एक चौड़ा डीएम चाहिए।,mujhe ek chaura DM chahiye.
यह अच्छा परिवार और वह अच्छा ससुर है।,Yeh accha parivar aur woh accha sasur hai
ज़बरदस्त देश,zabardast desh
वह गुस्से वाला पति होगा।,Woh gusse wala pati hoga.
मेरे पास एक विदेश है।,Mere paas ek videsh hai.
यह उम्मीद बिक्री हुई।,Yeh ummeed bikri hui.
यह रही रहा है,yah rahi raha hai
मुझे एक सबसे बुरा इंस्टाग्राम चाहिए।,mujhe ek sabse bura Instagram chahiye.
यह नीला बेटी है।,Yeh neela beti hai
मुझे एक सबसे बुरा फॉलो चाहिए।,mujhe ek sabse bura follow chahiye.
यह गुलाबी नानी है।,Yeh gulabi nani hai
यह प्रोफाइल ख़ास है।,Yeh profile khaas hai
वह सफेद घरवाले होगा।,Woh safed gharwale hoga.
यह ज़बरदस्त ससुर और वह ज़बरदस्त नाना है।,Yeh zabardast sasur aur woh zabardast nana hai
यह सबसे अच्छा चाची और वह सबसे अच्छा चाचा है।,Yeh sabse accha chachi aur woh sabse accha chacha hai
वह सोूँगी,vah soungi
वह नीला माँ होगा।,Woh neela maa hoga.
वह ठंडा औरत होगा।,Woh thanda aurat hoga.
वह मेहनती सास था।,Woh mehnati saas tha.
वह उत्साहित चाचा होगा।,Woh utsaahit chacha hoga.
बेहतर दिन है,behtar din hai
मैं शानदार है,main shaandaar hai
यह बेईमान लड़का है।,Yeh beimana ladka hai
